portefeuille,entreprise,cik,titre,classes
P3,DTE Energy,0000936340,DTE,1
P6,DTE Energy,0000936340,DTE,1
P1,Ciena,0000936395,CIEN,1
P2,Ciena,0000936395,CIEN,1
P5,Ciena,0000936395,CIEN,1
P1,NetApp,0001002047,NTAP,1
P2,NetApp,0001002047,NTAP,1
P5,NetApp,0001002047,NTAP,1
P1,Ameren,0001002910,AEE,1
P3,Ameren,0001002910,AEE,1
P6,Ameren,0001002910,AEE,1
P1,NRG Energy,0001013871,NRG,1
P2,NRG Energy,0001013871,NRG,1
P6,NRG Energy,0001013871,NRG,1
P1,Amazon,0001018724,AMZN,1
P2,Amazon,0001018724,AMZN,1
P4,Amazon,0001018724,AMZN,1
P1,Iron Mountain,0001020569,IRM,1
P2,Iron Mountain,0001020569,IRM,1
P8,Iron Mountain,0001020569,IRM,1
P1,Steel Dynamics,0001022671,STLD,1
P2,Steel Dynamics,0001022671,STLD,1
P10,Steel Dynamics,0001022671,STLD,1
P1,FirstEnergy,0001031296,FE,1
P2,FirstEnergy,0001031296,FE,1
P6,FirstEnergy,0001031296,FE,1
P1,Sempra,0001032208,SRE,1
P3,Sempra,0001032208,SRE,1
P6,Sempra,0001032208,SRE,1
P1,SBA Communications,0001034054,SBAC,1
P2,SBA Communications,0001034054,SBAC,1
P4,SBA Communications,0001034054,SBAC,1
P1,Comfort Systems USA,0001035983,FIX,1
P2,Comfort Systems USA,0001035983,FIX,1
P7,Comfort Systems USA,0001035983,FIX,1
P1,Ametek,0001037868,AME,1
P2,Ametek,0001037868,AME,1
P7,Ametek,0001037868,AME,1
P1,Prologis,0001045609,PLD,1
P2,Prologis,0001045609,PLD,1
P8,Prologis,0001045609,PLD,1
P1,Nvidia,0001045810,NVDA,1
P2,Nvidia,0001045810,NVDA,1
P5,Nvidia,0001045810,NVDA,1
P1,Quanta Services,0001050915,PWR,1
P2,Quanta Services,0001050915,PWR,1
P7,Quanta Services,0001050915,PWR,1
P1,American Tower,0001053507,AMT,1
P2,American Tower,0001053507,AMT,1
P8,American Tower,0001053507,AMT,1
P1,Berkshire Hathaway,0001067983,BRK-B,1
P2,Berkshire Hathaway,0001067983,BRK-B,1
P10,Berkshire Hathaway,0001067983,BRK-B,1
P1,Lennox International,0001069202,LII,1
P2,Lennox International,0001069202,LII,1
P7,Lennox International,0001069202,LII,1
P1,Akamai Technologies,0001086222,AKAM,1
P2,Akamai Technologies,0001086222,AKAM,1
P5,Akamai Technologies,0001086222,AKAM,1
P1,Teledyne Technologies,0001094285,TDY,1
P2,Teledyne Technologies,0001094285,TDY,1
P5,Teledyne Technologies,0001094285,TDY,1
P1,ON Semiconductor,0001097864,ON,1
P2,ON Semiconductor,0001097864,ON,1
P5,ON Semiconductor,0001097864,ON,1
P1,Equinix,0001101239,EQIX,1
P2,Equinix,0001101239,EQIX,1
P8,Equinix,0001101239,EQIX,1
P1,NiSource,0001111711,NI,1
P3,NiSource,0001111711,NI,1
P6,NiSource,0001111711,NI,1
P1,"Nasdaq, Inc.",0001120193,NDAQ,1
P2,"Nasdaq, Inc.",0001120193,NDAQ,1
P4,"Nasdaq, Inc.",0001120193,NDAQ,1
P1,CenterPoint Energy,0001130310,CNP,1
P3,CenterPoint Energy,0001130310,CNP,1
P6,CenterPoint Energy,0001130310,CNP,1
P1,Seagate Technology,0001137789,STX,1
P2,Seagate Technology,0001137789,STX,1
P5,Seagate Technology,0001137789,STX,1
P1,CBRE Group,0001138118,CBRE,1
P2,CBRE Group,0001138118,CBRE,1
P8,CBRE Group,0001138118,CBRE,1
P1,Ares Management,0001176948,ARES,1
P2,Ares Management,0001176948,ARES,1
P10,Ares Management,0001176948,ARES,1
P1,First Solar,0001274494,FSLR,1
P3,First Solar,0001274494,FSLR,1
P9,First Solar,0001274494,FSLR,1
P1,Monolithic Power Systems,0001280452,MPWR,1
P2,Monolithic Power Systems,0001280452,MPWR,1
P5,Monolithic Power Systems,0001280452,MPWR,1
P1,Digital Realty,0001297996,DLR,1
P2,Digital Realty,0001297996,DLR,1
P8,Digital Realty,0001297996,DLR,1
P1,"Tesla, Inc.",0001318605,TSLA,1
P2,"Tesla, Inc.",0001318605,TSLA,1
P4,"Tesla, Inc.",0001318605,TSLA,1
P1,Duke Energy,0001326160,DUK,1
P2,Duke Energy,0001326160,DUK,1
P6,Duke Energy,0001326160,DUK,1
P1,Meta Platforms,0001326801,META,1
P2,Meta Platforms,0001326801,META,1
P4,Meta Platforms,0001326801,META,1
P1,Leidos,0001336920,LDOS,1
P2,Leidos,0001336920,LDOS,1
P7,Leidos,0001336920,LDOS,1
P1,Oracle Corporation,0001341439,ORCL,1
P2,Oracle Corporation,0001341439,ORCL,1
P4,Oracle Corporation,0001341439,ORCL,1
P1,ServiceNow,0001373715,NOW,1
P2,ServiceNow,0001373715,NOW,1
P4,ServiceNow,0001373715,NOW,1
P1,Supermicro,0001375365,SMCI,1
P2,Supermicro,0001375365,SMCI,1
P5,Supermicro,0001375365,SMCI,1
P1,TE Connectivity,0001385157,TEL,1
P2,TE Connectivity,0001385157,TEL,1
P5,TE Connectivity,0001385157,TEL,1
P1,Vulcan Materials Company,0001396009,VMC,1
P2,Vulcan Materials Company,0001396009,VMC,1
P10,Vulcan Materials Company,0001396009,VMC,1
P1,CDW Corporation,0001402057,CDW,1
P2,CDW Corporation,0001402057,CDW,1
P9,CDW Corporation,0001402057,CDW,1
P1,NXP Semiconductors,0001413447,NXPI,1
P2,NXP Semiconductors,0001413447,NXPI,1
P5,NXP Semiconductors,0001413447,NXPI,1
P1,Trane Technologies,0001466258,TT,1
P2,Trane Technologies,0001466258,TT,1
P7,Trane Technologies,0001466258,TT,1
P1,Accenture,0001467373,ACN,1
P2,Accenture,0001467373,ACN,1
P9,Accenture,0001467373,ACN,1
P1,Generac,0001474735,GNRC,1
P2,Generac,0001474735,GNRC,1
P7,Generac,0001474735,GNRC,1
P1,Xylem Inc.,0001524472,XYL,1
P2,Xylem Inc.,0001524472,XYL,1
P7,Xylem Inc.,0001524472,XYL,1
P1,Eaton Corporation,0001551182,ETN,1
P2,Eaton Corporation,0001551182,ETN,1
P7,Eaton Corporation,0001551182,ETN,1
P1,Dell Technologies,0001571996,DELL,1
P2,Dell Technologies,0001571996,DELL,1
P5,Dell Technologies,0001571996,DELL,1
P1,Arista Networks,0001596532,ANET,1
P2,Arista Networks,0001596532,ANET,1
P5,Arista Networks,0001596532,ANET,1
P1,Keysight Technologies,0001601046,KEYS,1
P2,Keysight Technologies,0001601046,KEYS,1
P9,Keysight Technologies,0001601046,KEYS,1
P1,Lumentum,0001633978,LITE,1
P2,Lumentum,0001633978,LITE,1
P5,Lumentum,0001633978,LITE,1
P1,Hewlett Packard Enterprise,0001645590,HPE,1
P2,Hewlett Packard Enterprise,0001645590,HPE,1
P5,Hewlett Packard Enterprise,0001645590,HPE,1
P1,Alphabet Inc.,0001652044,GOOG,2
P1,Alphabet Inc.,0001652044,GOOGL,2
P2,Alphabet Inc.,0001652044,GOOG,2
P2,Alphabet Inc.,0001652044,GOOGL,2
P4,Alphabet Inc.,0001652044,GOOG,2
P4,Alphabet Inc.,0001652044,GOOGL,2
P1,Vertiv,0001674101,VRT,1
P2,Vertiv,0001674101,VRT,1
P7,Vertiv,0001674101,VRT,1
P1,Vistra Corp.,0001692819,VST,1
P3,Vistra Corp.,0001692819,VST,1
P6,Vistra Corp.,0001692819,VST,1
P1,Baker Hughes,0001701605,BKR,1
P2,Baker Hughes,0001701605,BKR,1
P10,Baker Hughes,0001701605,BKR,1
P1,Evergy,0001711269,EVRG,1
P3,Evergy,0001711269,EVRG,1
P6,Evergy,0001711269,EVRG,1
P1,Broadcom,0001730168,AVGO,1
P2,Broadcom,0001730168,AVGO,1
P5,Broadcom,0001730168,AVGO,1
P1,AppLovin,0001751008,APP,1
P2,AppLovin,0001751008,APP,1
P4,AppLovin,0001751008,APP,1
P1,Dow Inc.,0001751788,DOW,1
P2,Dow Inc.,0001751788,DOW,1
P5,Dow Inc.,0001751788,DOW,1
P1,Carrier Global,0001783180,CARR,1
P2,Carrier Global,0001783180,CARR,1
P7,Carrier Global,0001783180,CARR,1
P1,Texas Pacific Land Corporation,0001811074,TPL,1
P3,Texas Pacific Land Corporation,0001811074,TPL,1
P10,Texas Pacific Land Corporation,0001811074,TPL,1
P1,Marvell Technology,0001835632,MRVL,1
P2,Marvell Technology,0001835632,MRVL,1
P5,Marvell Technology,0001835632,MRVL,1
P1,Constellation Energy,0001868275,CEG,1
P2,Constellation Energy,0001868275,CEG,1
P6,Constellation Energy,0001868275,CEG,1
P1,GE Vernova,0001996810,GEV,1
P2,GE Vernova,0001996810,GEV,1
P7,GE Vernova,0001996810,GEV,1
P1,Sandisk,0002023554,SNDK,1
P2,Sandisk,0002023554,SNDK,1
P5,Sandisk,0002023554,SNDK,1
P1,Qnity Electronics,0002058873,Q,1
P2,Qnity Electronics,0002058873,Q,1
P9,Qnity Electronics,0002058873,Q,1
